incentive_id,incentive_name,company_name,score,justification
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"BSCI, LDA",9.0,"BSCI, LDA operates in the information technology sector, which is eligible for R&D tax credits. Their activities in project management and software development align well with R&D activities."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"ETHERNET - SOLUÇÕES INFORMÁTICAS, LDA",9.0,"As a company focused on IT consulting and system integration, ETHERNET is well-positioned to benefit from SIFIDE II due to its potential R&D expenditures in technology development."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"J.JM FERREIRA GOMES, LDA",8.5,"This company engages in scientific and technical consulting, which often involves R&D activities, making it a strong candidate for the SIFIDE II program."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"ALMANSOR - EQUIPAMENTOS INDUSTRIAIS, LDA",8.0,"ALMANSOR's focus on industrial machinery and equipment can involve R&D for new technologies, qualifying them for the tax credits under SIFIDE II."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"ANTÓNIO DIAS & FERNANDO FERREIRA - ALUMÍNIOS, LDA",7.5,"This company’s activities in manufacturing and installation of aluminum products may include R&D efforts, making them eligible for the SIFIDE II tax incentives."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"PLURIMÁRMORES, LDA",9.5,"This company is directly involved in the manufacturing of marble and similar stone articles, aligning perfectly with the eligible sector and activities of the incentive program."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"MORBEL - MÁRMORES E GRANITOS DE VISEU, LDA",9.0,"MORBEL specializes in the exploration, transformation, and commerce of marbles and granites, making it a strong candidate for the innovation grant focused on manufacturing."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"FRAZÃO - ROCHAS, S.A.",8.5,"FRAZÃO operates in the manufacturing of marble and similar stone articles, which fits well within the eligible sectors and activities of the program."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"J.MORGADO & LOUREIRO DA CRUZ, LDA",8.0,"This company is engaged in the commerce and industry of marbles and granites, aligning with the program's focus on manufacturing and innovation."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"MULTIPIERRE - GRANITOS E ROCHAS ORNAMENTAIS, SOCIEDADE UNIPESSOAL, LDA",7.5,"MULTIPIERRE focuses on the extraction and commercialization of granites and ornamental rocks, which fits the eligible activities of investment in productive capacity."
IN03,Portugal 2030 - Digitalização das Empresas,"TROVASNAMÃO, UNIPESSOAL, LDA",9.5,"This company is engaged in computer programming activities, which aligns perfectly with the eligible activities for digital transformation projects under the incentive program."
IN03,Portugal 2030 - Digitalização das Empresas,"VISIONSPACE PORTUGAL, UNIPESSOAL, LDA",9.0,"As a company focused on computer programming activities, it is well-positioned to implement digital tools and solutions, making it a strong candidate for the grant."
IN03,Portugal 2030 - Digitalização das Empresas,"PARKSIDE INTERACTIVE TECHNOLOGY, UNIPESSOAL, LDA",8.8,"This company specializes in software development services, which is a key area of focus for the digitalization initiative, thus making it a suitable match."
IN03,Portugal 2030 - Digitalização das Empresas,"ALTOGA II CLOUD SOFTWARE, UNIPESSOAL, LDA",8.5,"With a focus on cloud software and information technology services, this company aligns well with the objectives of the digital transformation projects outlined in the incentive program."
IN03,Portugal 2030 - Digitalização das Empresas,"OLINFORM - CONSULTADORIA E SERVIÇOS INFORMÁTICOS, LDA",8.0,"This company provides IT consulting services, which are essential for digital transformation projects, making it a relevant candidate for the grant."
IN04,PRR - Inovação e Transição Digital (C16),"METROMOLDE - TECNOLOGIA DE MOLDES, LDA",9.5,"This company specializes in the manufacturing of metallic moulds, aligning perfectly with the eligible sector of Technology Manufacturing and is likely involved in R&D projects."
IN04,PRR - Inovação e Transição Digital (C16),"MOLDSANDMORE, LDA",9.0,"With a focus on the manufacturing of metallic moulds for various applications, this company fits well within the eligible sector and activities related to digital transformation."
IN04,PRR - Inovação e Transição Digital (C16),"DIFMOLD - MOLDMAKING SOLUTIONS, LDA",8.5,"This company engages in the manufacturing and maintenance of moulds, which is relevant to the Technology Manufacturing sector and could involve R&D collaborations."
IN04,PRR - Inovação e Transição Digital (C16),"IRMÃOS MELO, LDA",8.0,"As a manufacturer of metallic moulds, this company is well-positioned within the eligible sector and could potentially engage in digital transformation initiatives."
IN04,PRR - Inovação e Transição Digital (C16),"MPR - PRESTAÇÃO DE SERVIÇOS E FABRICO DE MOLDES, LDA",8.0,"This company focuses on the manufacturing of moulds, aligning with the eligible sector and activities, making it a suitable candidate for the incentive program."
IN05,Vouchers para Startups - AI Green & Blue,"DREAMCELEBRATION, UNIPESSOAL, LDA",9.5,"This company focuses on the development and commercialization of software that supports the structuring of ideas and business plans, aligning well with the program's emphasis on AI-based digital products."
IN05,Vouchers para Startups - AI Green & Blue,"JOYGLITCH, LDA",9.0,"JOYGLITCH specializes in software programming and development, including AI and digital solutions, which fits perfectly with the eligible activities of the incentive program."
IN05,Vouchers para Startups - AI Green & Blue,KALUZA LIMITED - SUCURSAL EM PORTUGAL,8.8,"This company develops technology products for energy purposes, which can intersect with AI and green technology, making it a strong candidate for the program."
IN05,Vouchers para Startups - AI Green & Blue,"WISENEURON, UNIPESSOAL, LDA",8.5,"WISENEURON engages in IT consulting and business management, which can incorporate AI solutions, aligning with the program's focus on AI-based digital products."
IN05,Vouchers para Startups - AI Green & Blue,"GOTVEE - TECNOLOGIAS DE INFORMAÇÃO, LDA",8.3,"GOTVEE provides IT consulting and software development services, which are relevant to the development of new AI-based digital products, fitting the program's criteria."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Tons de Verão - Agência de Viagens, Unipessoal, Lda",9.0,"As a travel agency, this company is well-positioned to benefit from international market entry and trade fairs, aligning perfectly with the program's objectives."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Friosotavento - Comércio de Equipamentos Hoteleiros, Lda",8.5,"This company operates in the hospitality sector, which often requires international certifications and participation in trade fairs to enhance its export capacity."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Jsvj - International Healthcare Consulting, Lda",8.0,"This company is involved in the healthcare sector, which can greatly benefit from international certifications and market expansion, making it a suitable candidate for the incentive."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Geodão - Topografia e Cartografia, Unipessoal, Lda",7.5,"As a consultancy in engineering activities, this company can leverage international certifications and trade fairs to enhance its service offerings and market reach."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Calçado Samba, S.A.",7.0,"In the footwear manufacturing industry, this company can utilize the program to gain certifications and access international markets, aligning with the incentive's goals."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"STAR GENOMICS, LDA",9.5,"This company is engaged in research and experimental development in biotechnology, aligning perfectly with the eligible sector and activity requirements of the incentive program."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"EXOGENUS THERAPEUTICS, S.A.",9.0,"As a company focused on the development of new therapeutic products in biotechnology, it fits well within the strategic sector and eligible activities for collaborative R&D innovation projects."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"LOF - INTELLIGENT LAB ON FIBER, UNIPESSOAL, LDA",8.5,"This company specializes in biotechnology research and development, making it a strong candidate for the program's focus on innovation in strategic sectors."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"MITOTAG, LDA",8.0,"With its focus on biotechnology and the development of active ingredients for pharmaceuticals, this company aligns well with the program's objectives for large collaborative R&D projects."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"LAB4GENE, LDA",7.5,"This company is involved in genetic research and laboratory services, which fits the innovation and research criteria of the incentive program, although it may not be as directly aligned with supply chain impact."
IN08,Incentivo Fiscal à Recuperação (IFR),"HABITUAL MÉTRICA COMPONENTES METÁLICOS, UNIPESSOAL, LDA",9.5,"This company is involved in the manufacture of metal structures, which likely requires significant investment in machinery and equipment, making it a strong candidate for the IFR."
IN08,Incentivo Fiscal à Recuperação (IFR),"MARIANA VARELA CUNHA, UNIPESSOAL, LDA",9.0,"As a manufacturer of metal doors and windows, this company will likely need to invest in new machinery, aligning well with the IFR's focus on tangible asset investment."
IN08,Incentivo Fiscal à Recuperação (IFR),"SORETRAC PORTUGUESA - COMÉRCIO DE EMBALAGENS E MÁQUINAS, S.A.",8.8,"This company specializes in machinery and packaging, indicating a need for continuous investment in tangible assets, which fits the IFR criteria perfectly."
IN08,Incentivo Fiscal à Recuperação (IFR),"KTUBO INJECTION, LDA",8.5,"Involved in the manufacture of plastic products, this company likely requires investment in specialized machinery, making it a suitable candidate for the IFR."
